site,plot,drought,year,month,day,vwc,date,week.num,julian
Kinsella,Ki-A5-5,ambient,2017,5,1,0.346791667,2017-05-01,18,121
Kinsella,Ki-A5-5,ambient,2017,5,2,0.339625,2017-05-02,18,122
Kinsella,Ki-A5-5,ambient,2017,5,3,0.336375,2017-05-03,18,123
Kinsella,Ki-A5-5,ambient,2017,5,4,0.332583333,2017-05-04,18,124
Kinsella,Ki-A5-5,ambient,2017,5,5,0.328041667,2017-05-05,18,125
Kinsella,Ki-A5-5,ambient,2017,5,6,0.3235,2017-05-06,18,126
Kinsella,Ki-A5-5,ambient,2017,5,7,0.322916667,2017-05-07,18,127
Kinsella,Ki-A5-5,ambient,2017,5,8,0.319916667,2017-05-08,19,128
Kinsella,Ki-A5-5,ambient,2017,5,9,0.314583333,2017-05-09,19,129
Kinsella,Ki-A5-5,ambient,2017,5,10,0.309291667,2017-05-10,19,130
Kinsella,Ki-A5-5,ambient,2017,5,11,0.301125,2017-05-11,19,131
Kinsella,Ki-A5-5,ambient,2017,5,12,0.288625,2017-05-12,19,132
Kinsella,Ki-A5-5,ambient,2017,5,13,0.313666667,2017-05-13,19,133
Kinsella,Ki-A5-5,ambient,2017,5,14,0.33525,2017-05-14,19,134
Kinsella,Ki-A5-5,ambient,2017,5,15,0.340458333,2017-05-15,20,135
Kinsella,Ki-A5-5,ambient,2017,5,16,0.336958333,2017-05-16,20,136
Kinsella,Ki-A5-5,ambient,2017,5,17,0.330833333,2017-05-17,20,137
Kinsella,Ki-A5-5,ambient,2017,5,18,0.325458333,2017-05-18,20,138
Kinsella,Ki-A5-5,ambient,2017,5,19,0.320833333,2017-05-19,20,139
Kinsella,Ki-A5-5,ambient,2017,5,20,0.312583333,2017-05-20,20,140
Kinsella,Ki-A5-5,ambient,2017,5,21,0.300708333,2017-05-21,20,141
Kinsella,Ki-A5-5,ambient,2017,5,22,0.284458333,2017-05-22,21,142
Kinsella,Ki-A5-5,ambient,2017,5,23,0.261208333,2017-05-23,21,143
Kinsella,Ki-A5-5,ambient,2017,5,24,0.261625,2017-05-24,21,144
Kinsella,Ki-A5-5,ambient,2017,5,25,0.335708333,2017-05-25,21,145
Kinsella,Ki-A5-5,ambient,2017,5,26,0.328166667,2017-05-26,21,146
Kinsella,Ki-A5-5,ambient,2017,5,27,0.318958333,2017-05-27,21,147
