site,plot,year,drought,C,N
Kinsella,Kin-A5-5,2017,ambient,5.092376232,0.423656732
Kinsella,Kin-A6-6,2017,ambient,4.535526752,0.363488883
Kinsella,Kin-A9-9,2017,ambient,6.11976099,0.4966636
Kinsella,Kin-B2-12,2017,ambient,6.997336864,0.583824813
Kinsella,Kin-B4-14,2017,reduced,6.424342632,0.535827518
Kinsella,Kin-B9-19,2017,reduced,7.263930321,0.57571888
Kinsella,Kin-C3-23,2017,ambient,4.987402916,0.418802738
Kinsella,Kin-C7-27,2017,reduced,5.064195633,0.401539713
Kinsella,Kin-E2-42,2017,reduced,6.317647457,0.503402352
Kinsella,Kin-E10-50,2017,reduced,5.226253033,0.425817937
Mattheis,Mat-B5-65,2017,reduced,1.90093863,0.155677289
Mattheis,Mat-B9-69,2017,reduced,1.91906526,0.12237385
Mattheis,Mat-B10-70,2017,reduced,1.88880417,0.12251293
Mattheis,Mat-C3-73,2017,ambient,1.82104347,0.15071638
Mattheis,Mat-C7-77,2017,reduced,2.425511122,0.190464988
Mattheis,Mat-C8-78,2017,reduced,1.91502916,0.11301278
Mattheis,Mat-C9-79,2017,ambient,1.84806512,0.13955682
Mattheis,Mat-D8-88,2017,ambient,2.10219113,0.14911617
Mattheis,Mat-D10-90,2017,ambient,1.082642555,0.092180192
Mattheis,Mat-E7-97,2017,ambient,1.8136307,0.149580136
Onefour,One-A3-103,2017,reduced,1.517395616,0.138804898
Onefour,One-A8-108,2017,ambient,1.83253253,0.17039182
Onefour,One-B2-112,2017,ambient,1.92402935,0.15125747
Onefour,One-B5-115,2017,reduced,2.050598383,0.156580955
Onefour,One-C5-125,2017,ambient,1.68936401,0.15979028
Onefour,One-D1-131,2017,reduced,1.834921122,0.162424058
Onefour,One-D7-137,2017,ambient,1.791187525,0.155670196
Onefour,One-D8-138,2017,reduced,1.75478227,0.14721381
Oyen,Oye-A5-145,2017,reduced,5.156562328,0.406513572
Oyen,Oye-B1-151,2017,ambient,3.300686359,0.278124928
Oyen,Oye-B9-159,2017,ambient,3.73912961,0.27460326
Oyen,Oye-B10-160,2017,reduced,5.34298575,0.39506863
Oyen,Oye-C7-167,2017,reduced,3.04230586,0.33848923
Oyen,Oye-D2-172,2017,reduced,2.40587306,0.205594093
Oyen,Oye-D6-176,2017,ambient,3.32562761,0.33830969
Oyen,Oye-D9-179,2017,ambient,4.207417488,0.343059272
Sangudo,San-A4-184,2017,ambient,5.102835655,0.363343149
Sangudo,San-A6-186,2017,ambient,6.165971756,0.45333311
Sangudo,San-C10-210,2017,reduced,5.436517715,0.409743816
Sangudo,San-D3-213,2017,reduced,4.543923378,0.289001495
Sangudo,San-D4-214,2017,reduced,4.499821663,0.320428461
Sangudo,San-D5-215,2017,ambient,3.521083117,0.271251768
Sangudo,San-D6-216,2017,ambient,4.705517769,0.346563727
Sangudo,San-D9-219,2017,reduced,4.417135239,0.316206276
Stavely,Sta-A6-226,2017,ambient,7.77790873,0.76125227
Stavely,Sta-B5-235,2017,reduced,7.760449409,0.663565457
Stavely,Sta-B8-238,2017,reduced,7.486845016,0.653688848
Stavely,Sta-C1-241,2017,reduced,6.967123985,0.566065192
Stavely,Sta-C2-242,2017,ambient,9.412572861,0.798223555
Stavely,Sta-C6-246,2017,ambient,9.495063782,0.818206191
Stavely,Sta-C7-247,2017,ambient,9.779010773,0.846162558
Stavely,Sta-C10-250,2017,reduced,9.581576347,0.867639184
Twinriver,Twi-A2-262,2017,ambient,3.042591095,0.269746035
Twinriver,Twi-A3-263,2017,ambient,2.602704763,0.2373918
Twinriver,Twi-A8-268,2017,ambient,2.804742575,0.20850563
Twinriver,Twi-B10-280,2017,reduced,3.704811573,0.318161666
Twinriver,Twi-C2-282,2017,reduced,2.812490225,0.193361595
Twinriver,Twi-C4-284,2017,reduced,2.377745867,0.190936327
