site,year,month,Tave,Tmin,Tmax,ppt,rs.ppt
Kinsella,2016,1,-11.11490323,-16.73325806,-5.496548387,15.5,15.5
Kinsella,2016,2,-4.292913793,-9.18962069,0.603793103,6.5,6.5
Kinsella,2016,3,0.539967742,-3.88516129,4.965096774,19.2,19.2
Kinsella,2016,4,6.4581,-0.7381,13.6543,25.1,25.1
Kinsella,2016,5,10.75601613,3.18816129,18.32387097,96.9,53.295
Kinsella,2016,6,15.36148333,8.2893,22.43366667,79.7,43.835
Kinsella,2016,7,16.96048387,11.06516129,22.85580645,93.2,51.26
Kinsella,2016,8,15.66820968,8.675774194,22.66064516,42.5,23.375
Kinsella,2016,9,10.36341667,2.6055,18.12133333,22.5,12.375
Kinsella,2016,10,1.622774194,-1.938741935,5.184290323,38.4,38.4
Kinsella,2016,11,0.125066667,-4.288333333,4.538466667,16.7,16.7
Kinsella,2016,12,-14.02272581,-18.6126129,-9.43283871,7.5,7.5
Kinsella,2017,1,-10.92033871,-16.47187097,-5.368806452,8.5,8.5
Kinsella,2017,2,-9.484553571,-14.77107143,-4.198035714,12,12
Kinsella,2017,3,-6.25,-11.53416129,-0.96583871,24.9,24.9
Kinsella,2017,4,2.80305,-1.914866667,7.520966667,56.8,56.8
Kinsella,2017,5,11.65914516,4.133806452,19.18448387,51.4,28.27
Kinsella,2017,6,14.4798,7.9386,21.021,93.7,51.535
Kinsella,2017,7,17.39695161,10.34196774,24.45193548,60.9,33.495
Kinsella,2017,8,15.7401129,7.895387097,23.58483871,25.9,14.245
Kinsella,2017,9,11.33786667,3.403033333,19.2727,19.7,10.835
Kinsella,2017,10,3.648806452,-2.755193548,10.05280645,45,45
Kinsella,2017,11,-9.40275,-14.10473333,-4.700766667,14.2,14.2
Kinsella,2017,12,-10.58687097,-15.38264516,-5.791096774,1.6,1.6
Kinsella,2018,1,-12.25517742,-18.18816129,-6.322193548,8,8
Kinsella,2018,2,-16.86148214,-23.78964286,-9.933321429,7.7,7.7
Kinsella,2018,3,-7.380048387,-12.88832258,-1.871774194,14.7,14.7
Kinsella,2018,4,-0.575516667,-7.284266667,6.133233333,9.6,9.6
Kinsella,2018,5,13.43279032,5.593645161,21.27193548,22,12.1
Kinsella,2018,6,15.31973333,7.492133333,23.14733333,46.4,25.52
Kinsella,2018,7,16.77103226,9.091096774,24.45096774,88.1,48.455
Kinsella,2018,8,15.70622581,7.882129032,23.53032258,25.5,14.025
Kinsella,2018,9,6.018583333,1.351033333,10.68613333,55.4,30.47
Kinsella,2018,10,2.50233871,-3.815,8.819677419,17.6,17.6
Kinsella,2018,11,-5.431666667,-10.30146667,-0.561866667,13.9,13.9
Kinsella,2018,12,-8.930564516,-14.13570968,-3.725419355,13.9,13.9
Kinsella,2019,1,-10.14043548,-15.68716129,-4.593709677,8.5,8.5
Kinsella,2019,2,-22.96651786,-29.53928571,-16.39375,12.8,12.8
Kinsella,2019,3,-6.123096774,-12.29806452,0.051870968,2.9,2.9
Kinsella,2019,4,4.001333333,-3.052466667,11.05513333,22.3,22.3
Kinsella,2019,5,9.308225806,1.901354839,16.71509677,49.8,27.39
Kinsella,2019,6,13.6573,7.194933333,20.11966667,128.7,70.785
Kinsella,2019,7,15.84987097,9.582967742,22.11677419,118.8,65.34
Kinsella,2019,8,14.0511129,8.024483871,20.07774194,50.1,27.555
Kinsella,2019,9,10.27431667,4.507933333,16.0407,50.7,27.885
Kinsella,2019,10,1.181467742,-5.152483871,7.515419355,10.6,10.6
Kinsella,2019,11,-4.781533333,-9.705166667,0.1421,12.8,12.8
Kinsella,2019,12,-9.905322581,-15.13732258,-4.673322581,11.8,11.8
Mattheis,2016,1,-9.895564516,-16.07858065,-3.712548387,15.4,15.4
Mattheis,2016,2,-1.253965517,-7.050965517,4.543034483,9.8,9.8
Mattheis,2016,3,2.7615,-4.280258065,9.803258065,4,4
Mattheis,2016,4,7.992966667,-0.583533333,16.56946667,21.5,21.5
Mattheis,2016,5,10.99759677,3.091967742,18.90322581,68.7,37.785
Mattheis,2016,6,15.99211667,7.3239,24.66033333,26.3,14.465
Mattheis,2016,7,17.90859677,10.75009677,25.06709677,119.9,65.945
Mattheis,2016,8,16.69680645,9.158774194,24.23483871,33.9,18.645
Mattheis,2016,9,11.29083333,3.095666667,19.486,22.7,12.485
Mattheis,2016,10,3.360080645,-2.738,9.45816129,8.1,8.1
Mattheis,2016,11,2.129683333,-5.1901,9.449466667,0.9,0.9
Mattheis,2016,12,-13.0305,-19.49422581,-6.566774194,12.1,12.1
Mattheis,2017,1,-10.2781129,-16.36141935,-4.194806452,7.6,7.6
Mattheis,2017,2,-8.049839286,-14.10142857,-1.99825,16.4,16.4
Mattheis,2017,3,-2.3155,-9.31816129,4.68716129,18.7,18.7
Mattheis,2017,4,5.239133333,-1.9147,12.39296667,20.9,20.9
Mattheis,2017,5,12.84364516,3.981806452,21.70548387,27.8,15.29
Mattheis,2017,6,15.66116667,7.593333333,23.729,45,24.75
