site,plot,drought,year,anpp,grass,forb,root,litter,richness,evenness
Kinsella,Kin-A5-5,ambient,2017,413.65,399.36,14.29,150.8280255,449.85,7,0.368169673
Kinsella,Kin-A6-6,ambient,2017,265.43,261.29,4.14,88.40764331,380.61,8,0.404511003
Kinsella,Kin-A9-9,ambient,2017,245.03,238.57,6.46,230.3184713,381.42,6,0.439122779
Kinsella,Kin-B2-12,ambient,2017,299.45,291.15,8.3,288.4076433,335.15,7,0.505561918
Kinsella,Kin-B4-14,reduced,2017,284.62,279.94,4.68,241.5286624,401.31,3,0.365193465
Kinsella,Kin-B9-19,reduced,2017,270.11,270.11,0,285.8598726,335.47,6,0.619210199
Kinsella,Kin-C3-23,ambient,2017,549.72,523.92,25.8,221.1464968,355.88,7,0.444242928
Kinsella,Kin-C7-27,reduced,2017,382.29,369.68,12.61,422.4203822,334.2,6,0.244620559
Kinsella,Kin-E2-42,reduced,2017,170.12,164,6.12,239.4904459,255.63,10,0.794963966
Kinsella,Kin-E10-50,reduced,2017,281.49,258.01,23.48,230.0636943,248.71,11,0.541288274
Mattheis,Mat-B5-65,reduced,2017,80.49,25.05,55.44,96.30573248,21.44,4,0.569747721
Mattheis,Mat-B9-69,reduced,2017,72.31,68.95,3.36,212.9936306,27,6,0.783701609
Mattheis,Mat-B10-70,reduced,2017,83.71,62.54,21.17,195.9235669,40.68,8,0.430018754
Mattheis,Mat-C3-73,ambient,2017,85.91,68.16,17.75,64.20382166,54.33,7,0.564359808
Mattheis,Mat-C7-77,reduced,2017,154.71,81.9,72.81,87.89808917,27.29,7,0.532781158
Mattheis,Mat-C8-78,reduced,2017,84.15,63.64,20.51,119.7452229,62.11,6,0.692539213
Mattheis,Mat-C9-79,ambient,2017,244.76,228.45,16.31,174.522293,122.64,5,0.916532387
Mattheis,Mat-D8-88,ambient,2017,43.27,41.93,1.34,127.8980892,23.67,7,0.418393662
Mattheis,Mat-D10-90,ambient,2017,69.11,62.82,6.29,193.6305732,28.01,5,0.413441884
Mattheis,Mat-E7-97,ambient,2017,72.59,59.33,13.26,238.4713376,64.75,7,0.656093901
Onefour,One-A3-103,reduced,2017,107.73,107.73,0,166.1146497,79.64,8,0.457002402
Onefour,One-A8-108,ambient,2017,117.22,88.02,29.2,212.7388535,86.26,7,0.382279369
Onefour,One-B2-112,ambient,2017,46.45,41.33,5.12,103.9490446,57.61,8,0.668816566
Onefour,One-B5-115,reduced,2017,75.65,67.56,8.09,122.2929936,49.54,8,0.836919284
Onefour,One-C5-125,ambient,2017,105.44,85.45,19.99,150.0636943,49.89,8,0.562804312
Onefour,One-D1-131,reduced,2017,42.65,42.02,0.63,163.0573248,137.92,7,0.446033014
Onefour,One-D7-137,ambient,2017,42.12,39.83,2.29,232.3566879,112.76,7,0.340782721
Onefour,One-D8-138,reduced,2017,95.43,69.42,26.01,162.8025478,91.83,8,0.562528534
Oyen,Oye-A5-145,reduced,2017,202.24,183.81,18.43,244.8407643,161.34,5,0.666763475
Oyen,Oye-B1-151,ambient,2017,190.21,187.46,2.75,206.1146497,119.21,6,0.430730154
Oyen,Oye-B9-159,ambient,2017,182.57,166.07,16.5,223.9490446,147.89,5,0.605005609
Oyen,Oye-B10-160,reduced,2017,178.12,135.29,42.83,199.4904459,347.65,6,0.380160997
Oyen,Oye-C7-167,reduced,2017,155.06,151.55,3.51,204.3312102,391.18,3,0.807975196
Oyen,Oye-D2-172,reduced,2017,333.11,321.01,12.1,233.1210191,439.77,3,0.458355866
Oyen,Oye-D6-176,ambient,2017,256.04,192.26,63.78,159.7452229,213.81,7,0.862813158
Oyen,Oye-D9-179,ambient,2017,194.28,194.28,0,209.4267516,343.15,5,0.447683592
Sangudo,San-A4-184,ambient,2017,277.8,140.52,137.28,206.3694268,203.46,6,0.61267361
Sangudo,San-A6-186,ambient,2017,205.33,186.06,19.27,135.0318471,364.71,5,0.441488337
Sangudo,San-D3-213,reduced,2017,250.02,143.84,106.18,214.0127389,338.29,5,0.499850846
Sangudo,San-D4-214,reduced,2017,497.12,491.26,5.86,267.5159236,510.47,6,0.288413062
Sangudo,San-D5-215,ambient,2017,541.57,515.25,26.32,478.9808917,338.52,6,0.814374939
Sangudo,San-D6-216,ambient,2017,544.08,505.48,38.6,328.6624204,296.92,6,0.694880758
