site,MAT,year,month,ppt,Tmax,Tmin,Tave,rs.ppt
Onefour,5.4,1901,1,28,-3.9,-15.3,-9.6,28
Mattheis,4.1,1901,1,17,-7.7,-18.4,-13,17
Oyen,3.3,1901,1,13,-8.3,-19,-13.6,13
Twinriver,5,1901,1,21,-1.3,-12.7,-7,21
Kinsella,2.4,1901,1,19,-9.3,-19.8,-14.6,19
Stavely,3.6,1901,1,34,-3.1,-13.8,-8.5,34
Sangudo,2.5,1901,1,28,-7.4,-18.8,-13.1,28
Onefour,4.4,1902,1,13,-1.4,-14,-7.7,13
Mattheis,3.3,1902,1,12,-4.8,-16.9,-10.9,12
Oyen,2.6,1902,1,7,-5,-17,-11,7
Twinriver,4.1,1902,1,9,0.3,-11.1,-5.4,9
Kinsella,1.7,1902,1,8,-7.5,-19,-13.3,8
Stavely,2.8,1902,1,30,-1.2,-12.7,-6.9,30
Sangudo,2,1902,1,15,-6.6,-18.7,-12.7,15
Onefour,4.7,1903,1,11,-1.3,-13.5,-7.4,11
Mattheis,3.5,1903,1,7,-5.2,-16.9,-11,7
Oyen,2.5,1903,1,8,-6.3,-17.5,-11.9,8
Twinriver,4.4,1903,1,9,1.5,-10.4,-4.4,9
Kinsella,1.8,1903,1,16,-7.7,-19,-13.4,16
Stavely,3,1903,1,23,-0.4,-12,-6.2,23
Sangudo,1.9,1903,1,21,-6,-18.5,-12.3,21
Onefour,4.7,1904,1,10,-2.6,-14,-8.3,10
Mattheis,3.3,1904,1,10,-6.3,-17.1,-11.7,10
Oyen,2.3,1904,1,11,-7.6,-17.6,-12.6,11
Twinriver,4.6,1904,1,7,0.7,-11.8,-5.6,7
Kinsella,1.3,1904,1,26,-8.9,-18.3,-13.6,26
Stavely,3.1,1904,1,16,-0.9,-13.2,-7,16
Sangudo,1.7,1904,1,33,-7.6,-17.7,-12.6,33
Onefour,5.4,1905,1,27,-7,-18.2,-12.6,27
Mattheis,4.1,1905,1,17,-9.8,-20.4,-15.1,17
Oyen,3.2,1905,1,9,-9.7,-20.4,-15.1,9
Twinriver,5,1905,1,14,-3.4,-14.7,-9,14
Kinsella,2.4,1905,1,10,-10.9,-21.7,-16.3,10
Stavely,3.6,1905,1,51,-4.6,-15.5,-10.1,51
Sangudo,2.9,1905,1,12,-8.6,-20.1,-14.3,12
Onefour,5.5,1906,1,14,-1.7,-13.5,-7.6,14
Mattheis,4.1,1906,1,11,-6.3,-17.9,-12.1,11
Oyen,3.1,1906,1,11,-6.6,-17.7,-12.1,11
Twinriver,5,1906,1,9,1.1,-11.3,-5.1,9
Kinsella,2.1,1906,1,23,-8,-19.4,-13.7,23
Stavely,3.8,1906,1,10,-1.1,-13.9,-7.5,10
Sangudo,2.8,1906,1,14,-6.5,-18.3,-12.4,14
Onefour,3.3,1907,1,57,-15.5,-27.6,-21.5,57
Mattheis,1.9,1907,1,13,-20,-30.9,-25.4,13
Oyen,0.9,1907,1,9,-19.6,-30.1,-24.8,9
Twinriver,3.4,1907,1,42,-11.3,-24.4,-17.8,42
Kinsella,-0.1,1907,1,22,-20.4,-31.9,-26.2,22
Stavely,2.3,1907,1,34,-13.3,-26.3,-19.8,34
Sangudo,1.1,1907,1,29,-15.8,-28.3,-22.1,29
Onefour,5.6,1908,1,7,0.4,-13,-6.3,7
Mattheis,4.3,1908,1,5,-3,-15.3,-9.1,5
Oyen,3.2,1908,1,7,-3.9,-16,-9.9,7
Twinriver,5,1908,1,10,2.8,-10.3,-3.8,10
Kinsella,1.9,1908,1,8,-5.2,-17.6,-11.4,8
Stavely,3.8,1908,1,15,1.2,-10.7,-4.7,15
Sangudo,2.3,1908,1,17,-3.9,-14.8,-9.3,17
Onefour,3.8,1909,1,27,-9,-21.3,-15.1,27
Mattheis,2.4,1909,1,8,-11.9,-24.8,-18.4,8
Oyen,1.6,1909,1,8,-12.7,-24.6,-18.6,8
Twinriver,3.5,1909,1,22,-5.9,-19.2,-12.6,22
Kinsella,0.2,1909,1,17,-16.1,-27.4,-21.7,17
Stavely,1.8,1909,1,39,-8.4,-21.1,-14.7,39
Sangudo,0.4,1909,1,31,-13.9,-26.2,-20.1,31
Onefour,6.2,1910,1,9,-0.8,-13.7,-7.3,9
Mattheis,4.6,1910,1,10,-4.1,-17,-10.6,10
Oyen,3.3,1910,1,7,-5.4,-17.4,-11.4,7
Twinriver,6,1910,1,5,1.5,-10.7,-4.6,5
Kinsella,2.2,1910,1,18,-6.7,-18.9,-12.8,18
Stavely,4.5,1910,1,23,-0.5,-12.9,-6.7,23
Sangudo,2.4,1910,1,8,-4.8,-18.6,-11.7,8
Onefour,3.3,1911,1,24,-9.8,-23.5,-16.6,24
Mattheis,2.1,1911,1,9,-14.4,-26.9,-20.7,9
Oyen,0.9,1911,1,9,-15.9,-27.2,-21.6,9
Twinriver,3,1911,1,16,-5.7,-19.9,-12.8,16
Kinsella,0.1,1911,1,20,-18.5,-29.3,-23.9,20
