Plot,5-2017,6-2017,7-2017,8-2017,9-2017,5-2018,6-2018,7-2018,8-2018,9-2018,5-2019,6-2019,7-2019,8-2019,9-2019
Kin-A5-5,0.312284946,0.304748611,0.226873656,0.144053763,0.114531944,0.203051075,0.171073611,0.165642473,0.114262097,0.163381579,0.257289352,0.273395833,0.29222619,0.256401882,0.221097756
Kin-A6-6,0.223716398,0.247680556,0.23128629,0.157123656,0.138590278,0.172959678,0.143929167,0.156540323,0.064771505,0.103173246,0.246574074,0.271904167,0.302367216,0.241673387,0.223586538
Kin-A9-9,0.313166667,0.302952778,0.209474462,0.142685484,0.118345833,0.293064516,0.21675,0.169326613,0.11618174,,0.262173611,0.270613889,0.29236828,0.234389785,0.209753771
Kin-B2-12,0.279741935,0.27045,0.202569697,,0.003079365,0.128986559,0.104223611,0.100239144,0.048224462,0.085598684,0.267478395,0.274391667,0.278836022,0.204447581,0.169577677
Kin-B4-14,0.247216398,0.225397222,0.158896505,0.104091398,0.0826625,0.159133064,0.092219445,0.086891129,0.067705645,0.067442982,0.136215278,0.149718056,0.186025538,0.107971774,0.105443816
Kin-B9-19,0.183586022,0.137658333,0.05700672,0.028376263,0.029031039,0.281122312,0.119229167,0.089384409,0.055615591,0.056252193,0.217472222,0.243648611,0.289083333,0.188389785,0.150624057
Kin-C3-23,0.193201613,0.206479167,0.193079301,0.226395161,0.139193055,0.191555107,0.172741667,0.169956989,0.114461022,0.162473684,0.202623457,0.226530556,0.250200269,0.200774194,0.173575981
Kin-C7-27,0.244282258,0.218913889,0.148498656,0.106958333,0.094375,0.228758602,0.189818056,0.154977151,0.093716398,0.152215756,0.259151235,0.260266667,0.285669355,0.184590054,0.133847917
Kin-E10-50,0.222319893,0.194829167,0.130293011,0.079823925,0.04995,0.203950035,0.126655556,0.146428763,0.034125,0.105931343,0.170962963,0.252858333,0.340823925,0.188141129,0.161404223
Kin-E2-42,0.176741935,0.208105556,0.225420699,0.136723118,0.100966667,0.247165323,0.160433333,0.134090054,0.088564516,0.126759953,0.204645833,0.249481944,0.325325269,0.213836021,0.142051282
Mat-B10-70,0.090233871,0.073395833,0.079626344,0.032014785,0.031983333,0.122948925,0.087977778,0.072438172,0.04983871,0.046754861,0.047048611,0.038184722,0.056170699,0.046571236,0.033198611
